Month,Building_Type,Building_Age,Building_Area_(sqm),Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Damage_Scale,Time_to_Extinguish_(min),Response_Time_(min),Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Fire_Safety_Training_Conducted,Nearest_Fire_Station_Location,Width_of_Nearby_Roads_(m),Distance_to_Nearby_Buildings_(m),Types_of_Nearby_Buildings,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
7,Residential,88,720,5,1,No,Chemical,Large,Large,19,33,47,3,No,7,18,No,East,20,54,Public,No,Yes,None,21.20330749297059,61.50574979616584,4.9,56.55062138089943
1,Commercial,99,405,17,5,Yes,Chemical,Small,Small,55,1,22,5,Yes,2,11,No,East,13,99,Commercial,Yes,Yes,None,26.141315789899814,40.4,2.490685958659974,71.12193732739507
4,Commercial,52,540,37,10,No,Electrical,Medium,Large,33,1,50,4,Yes,9,4,No,East,14,73,Public,No,No,None,15.262116042496906,63.920429576144215,1.847893722542036,49.51059963237292
7,Commercial,18,673,17,5,No,Negligence,Large,Large,34,1,43,2,No,1,6,No,East,14,37,Residential,No,No,None,15.1,68.91812538551271,0.6,31.740373035376138
10,Commercial,29,369,37,11,Yes,Negligence,Medium,Large,59,57,25,2,No,13,11,No,South,15,54,Residential,No,No,Over 3 years,18.345174907412694,91.34180871979646,3.1484065875416736,70.88611173552329
9,Industrial,35,543,35,10,Yes,Negligence,Medium,Large,25,19,45,3,No,3,0,No,East,6,48,Industrial,No,No,Over 3 years,20.943618850657057,70.83364821330045,4.194312615514347,23.65670948966199
2,Residential,25,465,33,9,No,Chemical,Small,Large,40,49,16,10,No,12,8,No,South,20,62,Public,No,Yes,Over 3 years,15.1,85.97952878716943,2.030827666689056,47.514538495068976
8,Commercial,37,724,49,14,No,Negligence,Small,Medium,41,45,48,1,Yes,11,11,No,South,12,94,Public,Yes,Yes,Over 3 years,25.91433812209476,77.71875773163997,3.370819413296747,39.987196947277134
6,Commercial,84,917,40,11,Yes,Negligence,Medium,Small,8,21,5,9,Yes,9,7,No,North,15,51,Public,No,No,Within 1 year,20.573603692585387,55.43389328509741,2.5552128699405445,29.628457357110264
5,Commercial,59,347,46,13,No,Chemical,Medium,Large,42,43,24,4,Yes,15,20,No,South,12,60,Residential,Yes,Yes,Within 1 year,26.60601101415918,99.4,2.276395109508955,73.281817694864
3,Commercial,21,530,5,1,No,Negligence,Small,Medium,48,3,21,9,No,1,2,No,South,4,86,Residential,No,No,Over 3 years,22.327109882891094,40.4,2.797587818255667,35.250759348767424
7,Residential,9,619,11,3,No,Chemical,Small,Large,26,37,40,5,No,1,4,No,North,15,73,Residential,No,No,Within 1 year,25.819259140703604,43.13936176223159,1.101333657018866,18.92423491874556
4,Residential,20,92,44,13,No,Electrical,Small,Small,15,17,27,8,Yes,15,14,Yes,North,12,69,Industrial,No,No,Within 1 year,26.24962022013394,69.65807245184925,1.7317563946357344,41.1059447741427
3,Residential,40,658,38,11,No,Chemical,Medium,Large,18,27,4,5,Yes,11,16,No,South,12,83,Residential,No,Yes,Over 3 years,22.67251933997249,63.38120290978407,2.237383493427114,35.395597112431105
2,Commercial,24,92,32,9,No,Negligence,Small,Large,38,1,47,5,Yes,8,5,No,East,12,83,Residential,No,Yes,Over 3 years,16.387854540008757,74.13890750618224,2.153485075686055,49.27407996193704
3,Commercial,60,502,35,10,Yes,Chemical,Medium,Large,40,35,14,8,Yes,9,7,No,West,10,20,Public,No,Yes,Over 3 years,21.735715638826512,77.15993682538938,2.576674239019509,27.6489837076944
6,Residential,89,469,5,1,No,Negligence,Small,Large,53,30,47,8,No,4,5,No,North,11,87,Residential,Yes,No,Within 1 year,24.8091451578105,67.7977541410592,4.476785571879226,2.3
3,Residential,99,793,44,12,Yes,Chemical,Small,Small,59,24,27,10,Yes,14,0,No,West,17,19,Industrial,Yes,Yes,Within 1 year,17.744673929815875,73.9785881878971,2.773425096525165,61.91997582336923
10,Commercial,99,778,27,8,No,Chemical,Small,Small,42,44,34,7,No,5,1,No,East,15,53,Residential,No,No,None,23.412996832888037,56.555444510004,1.9709669677922883,30.36231922010535
2,Residential,80,511,25,7,Yes,Chemical,Small,Small,42,26,8,9,Yes,8,15,No,North,15,58,Residential,No,No,None,20.255914634142517,61.13662764963512,2.187496013214969,42.944630323753145
2,Residential,98,863,22,6,Yes,Negligence,Medium,Small,59,26,21,6,Yes,7,13,No,South,9,3,Residential,No,No,None,20.79350697334853,66.0910076154878,2.4152131913555506,83.09586050208875
7,Residential,88,552,43,12,No,Chemical,Small,Large,32,40,20,9,Yes,11,14,No,South,4,40,Residential,No,Yes,None,29.7,66.37124958022669,3.318374230519067,46.717561155290255
11,Commercial,4,478,28,8,Yes,Negligence,Large,Large,21,44,46,5,Yes,9,5,No,West,20,39,Residential,No,No,1-3 years,19.84169810670853,99.4,2.828783881975929,44.847463896693824
4,Commercial,51,156,37,10,No,Chemical,Small,Medium,59,37,27,5,No,10,5,No,South,17,54,Residential,Yes,Yes,Within 1 year,20.43966385198516,71.48611099857193,4.127199806000409,28.50502342421355
7,Commercial,61,542,25,7,No,Chemical,Small,Large,33,44,21,10,Yes,8,7,No,East,2,46,Public,No,No,Over 3 years,20.524180951472303,65.64351170988554,2.8625514968049357,43.96299325360834
4,Commercial,82,764,42,12,No,Negligence,Small,Medium,32,7,26,7,No,7,11,No,South,9,74,Public,No,Yes,None,17.86210783004023,56.4727006672372,1.9124369500695697,23.82807202316366
9,Residential,36,611,22,6,No,Chemical,Small,Medium,54,11,39,5,No,7,2,No,East,16,51,Industrial,No,Yes,Over 3 years,19.591570397888933,77.13771704277288,3.3850780911589897,26.14905121081969
7,Residential,82,549,5,1,Yes,Negligence,Medium,Small,59,44,29,5,No,3,6,No,East,9,83,Residential,Yes,No,Within 1 year,23.77786929947588,65.97236686639694,3.801997530885961,61.86277937482511
4,Residential,99,507,35,10,No,Chemical,Large,Medium,42,30,28,10,No,10,11,No,South,18,74,Public,No,Yes,None,18.32035265035966,77.19308569673855,1.729691031231697,20.70027846691684
6,Residential,21,163,17,5,Yes,Chemical,Small,Large,39,21,3,3,Yes,9,7,No,East,9,30,Commercial,Yes,Yes,Within 1 year,24.501672667926755,66.29443744214284,4.9,59.83520845257645
1,Residential,39,450,23,7,No,Negligence,Large,Small,44,45,28,7,Yes,8,10,No,South,12,53,Industrial,No,No,1-3 years,23.675668072719617,82.06636565633731,3.0365575806610328,47.06050492566838
2,Commercial,68,322,42,12,No,Chemical,Medium,Small,35,22,19,6,Yes,11,9,No,South,16,50,Industrial,No,No,Over 3 years,21.872436082013238,41.82379313280517,0.6,14.474830270016128
9,Commercial,64,92,49,14,Yes,Chemical,Small,Small,28,5,22,8,Yes,12,8,Yes,West,10,3,Residential,No,No,Within 1 year,23.41020735259558,63.03404925094068,0.6,65.98120706981825
1,Industrial,4,460,8,2,Yes,Electrical,Medium,Small,53,36,23,5,No,1,0,No,East,12,58,Public,No,No,None,19.611450880887134,99.4,1.1246242562950932,50.32054383408633
6,Residential,17,560,27,7,No,Chemical,Medium,Small,56,44,33,3,No,8,0,No,North,18,51,Public,No,No,Within 1 year,21.83526684721957,99.4,1.870108611082532,36.615513900557104
9,Commercial,80,997,38,11,Yes,Negligence,Small,Medium,48,44,35,1,Yes,7,4,No,East,9,48,Public,Yes,Yes,None,19.909515639369,71.50061386215165,4.608891737640734,44.30216153258282
6,Industrial,22,724,48,14,No,Negligence,Small,Medium,43,57,16,7,Yes,13,11,No,South,16,30,Residential,No,Yes,Over 3 years,23.506728136611333,78.59598788308023,3.030661521935811,52.38291392016248
4,Residential,66,459,32,9,No,Negligence,Medium,Medium,31,15,14,10,Yes,6,10,No,South,9,81,Residential,No,No,None,18.49153831331868,40.4,2.8542899684629623,37.67114403872869
5,Industrial,96,466,5,1,No,Negligence,Medium,Large,55,53,11,5,Yes,1,5,No,North,3,45,Residential,Yes,Yes,Over 3 years,29.7,64.96463726088504,4.9,56.78294984594298
8,Commercial,56,618,20,6,No,Electrical,Small,Small,36,15,24,6,Yes,7,9,No,West,18,18,Residential,No,No,Within 1 year,21.89331942785505,75.18569556623797,1.834707007527152,60.89020549308917
10,Commercial,47,997,49,14,No,Electrical,Large,Large,14,44,25,7,No,15,19,No,West,13,75,Public,No,No,1-3 years,29.674300129355004,99.4,2.911193413077556,35.839805668187786
2,Residential,80,563,35,10,No,Chemical,Small,Medium,49,22,16,8,Yes,9,3,No,South,16,82,Commercial,Yes,Yes,Within 1 year,23.74378653394264,66.14041137702822,1.271850062784417,2.3
5,Residential,79,940,11,3,No,Negligence,Small,Large,57,43,29,5,No,3,0,No,South,16,85,Residential,No,No,Over 3 years,22.878398902524,68.46079821761407,4.168952994172397,2.3
5,Residential,14,997,5,1,No,Chemical,Small,Small,38,45,15,3,No,1,1,No,West,17,33,Residential,No,No,None,21.97238700461223,69.15189098453568,2.679791026273564,42.623804069442905
5,Industrial,4,387,40,11,Yes,Chemical,Small,Medium,52,24,19,4,No,5,3,No,South,16,94,Public,No,No,Within 1 year,22.20196999807338,79.92329360711337,0.6,11.818151763417324
3,Residential,35,186,30,8,No,Chemical,Medium,Large,31,36,24,9,Yes,8,6,No,South,10,64,Industrial,No,No,None,15.1,76.52829459628522,1.0885724680263855,65.180190357133
8,Residential,4,423,46,13,No,Negligence,Large,Large,45,24,15,4,Yes,8,10,No,South,11,93,Industrial,No,No,Over 3 years,22.36481581900772,55.44413742829947,0.6,9.055442247757243
4,Commercial,17,748,27,8,No,Negligence,Small,Medium,38,4,9,10,No,6,8,No,North,19,25,Industrial,No,Yes,Over 3 years,23.44483567251067,84.86263139037963,0.7383279511965779,2.3
1,Residential,29,395,17,5,No,Negligence,Large,Small,14,11,42,3,No,5,6,No,North,9,47,Industrial,Yes,Yes,1-3 years,21.34694748450666,72.5492121099295,3.2292208667593805,2.3
11,Commercial,75,633,25,7,No,Chemical,Medium,Large,32,23,35,8,Yes,3,8,No,East,7,56,Residential,No,No,None,29.7,49.40325354311294,3.66103013724563,41.39124853224784
4,Commercial,55,863,15,4,Yes,Negligence,Large,Small,32,2,22,10,No,5,4,No,North,12,30,Residential,Yes,Yes,Over 3 years,26.422304556299224,85.06774277979574,1.7111611814826917,76.27031051252473
7,Residential,34,618,18,6,Yes,Negligence,Small,Small,31,41,21,6,Yes,8,11,No,West,12,33,Public,No,No,Over 3 years,19.867549616195536,89.1712459973856,1.991329025391256,43.233533039518754
7,Residential,90,333,33,10,Yes,Chemical,Large,Large,59,57,15,4,Yes,8,6,No,South,10,32,Residential,No,No,None,20.043051743719143,65.33334496223297,4.521842104698801,40.88659157804592
4,Industrial,71,520,33,10,Yes,Chemical,Large,Small,44,1,46,6,Yes,4,0,No,North,12,39,Industrial,Yes,Yes,1-3 years,26.478166167020703,73.39638501023177,2.1657138505389413,82.52075534392151
4,Residential,32,660,17,5,No,Electrical,Large,Large,13,20,29,10,Yes,6,1,No,East,11,51,Public,No,No,Within 1 year,16.991150618623802,87.40072717929709,2.943168711068485,29.48111668614144
8,Residential,99,399,40,12,No,Chemical,Large,Small,42,12,34,8,Yes,13,11,No,East,12,26,Public,No,No,None,23.847151672968277,74.41741831654235,2.106997358295485,39.49679676966596
9,Residential,73,111,30,8,No,Chemical,Medium,Small,43,34,37,7,Yes,11,10,Yes,East,13,12,Commercial,No,No,None,22.73388518831292,63.74444217757685,1.7795751019643389,52.274117685899306
5,Residential,4,996,8,3,No,Negligence,Large,Small,33,17,20,9,Yes,5,7,No,South,14,26,Commercial,No,No,Over 3 years,15.1,43.94156941882645,2.6068599228431646,84.47091699354615
1,Residential,99,172,5,1,No,Negligence,Medium,Large,59,1,17,5,No,1,1,No,South,19,67,Commercial,No,No,None,15.1,40.4,2.1612858165103246,23.33523841008266
5,Commercial,45,160,49,14,Yes,Chemical,Large,Large,31,57,33,1,Yes,15,4,No,North,13,41,Residential,Yes,Yes,1-3 years,25.06422959244767,79.77182059806657,4.9,36.23565545754293
11,Residential,57,185,49,14,No,Chemical,Medium,Medium,42,16,39,3,No,16,11,Yes,North,16,86,Industrial,Yes,Yes,None,24.052240082519784,58.402478277111015,4.0700700497771685,20.936418424712844
7,Commercial,99,638,49,14,No,Negligence,Large,Large,34,44,37,6,Yes,17,16,No,North,18,99,Commercial,Yes,Yes,Within 1 year,27.82537987649764,70.89982455042754,2.181940818310808,25.88329281025242
3,Residential,99,446,25,7,Yes,Chemical,Medium,Large,49,4,16,7,Yes,7,16,No,East,9,90,Public,No,Yes,None,15.353032367804804,61.22420535011656,1.6782540924168263,38.61886289799608
8,Residential,59,714,39,11,Yes,Chemical,Medium,Medium,21,36,0,10,Yes,10,8,No,North,10,63,Public,No,No,Over 3 years,17.591082900811347,83.02800532799418,1.78003830252924,13.624607288904436
6,Commercial,92,425,38,11,No,Negligence,Medium,Medium,34,24,16,10,Yes,8,17,No,East,16,54,Commercial,No,No,Over 3 years,21.014621557565626,58.92948770906012,2.479909273724189,46.61180004433569
2,Residential,41,905,36,10,No,Negligence,Medium,Large,23,49,33,6,Yes,12,17,No,South,8,49,Public,No,Yes,Within 1 year,24.01605380170077,71.09629525930465,2.398241342259888,56.24625006937327
2,Residential,52,370,15,4,No,Negligence,Small,Large,29,1,15,10,Yes,4,15,No,South,10,77,Public,Yes,Yes,Over 3 years,15.1,55.62437109976688,1.2376549561240802,50.55543486292139
1,Commercial,4,521,29,8,Yes,Chemical,Small,Medium,49,57,29,1,No,3,0,No,South,15,99,Public,No,No,Over 3 years,15.1,76.29870448383949,4.678991078816148,4.201152573756506
6,Residential,43,411,18,5,Yes,Chemical,Large,Small,58,14,14,2,Yes,7,11,No,South,17,99,Industrial,No,Yes,None,18.64347651106735,64.57172843246285,2.4999100309249216,27.76757586663167
1,Commercial,45,447,12,3,No,Negligence,Medium,Large,30,16,21,10,No,1,7,No,East,9,51,Residential,No,No,Over 3 years,21.96768759721446,52.56326217964491,1.8715241751375968,32.009661913978675
9,Residential,67,741,20,6,No,Electrical,Medium,Small,47,39,38,6,No,6,5,No,North,13,61,Residential,No,No,Over 3 years,22.167496618039014,84.67877078529465,2.894712176692793,2.3
11,Commercial,99,719,16,4,No,Chemical,Medium,Large,38,1,21,10,Yes,1,5,No,North,8,43,Residential,No,No,Over 3 years,24.60170510797776,40.4,0.9608372529469872,21.956936599807943
4,Commercial,24,238,42,12,No,Chemical,Large,Large,38,29,38,8,Yes,17,15,No,East,11,49,Residential,No,Yes,Within 1 year,23.179143892913963,96.95511409358063,2.99701269931176,52.614485422337616
9,Industrial,47,539,31,9,Yes,Chemical,Small,Medium,46,1,39,3,No,1,1,No,East,12,99,Residential,Yes,Yes,Over 3 years,29.7,53.675606013224936,1.4588956783396545,34.59256507655448
2,Residential,35,92,39,11,No,Negligence,Small,Small,42,36,23,7,Yes,10,12,No,South,15,45,Residential,Yes,Yes,Over 3 years,22.61230675600228,81.8423217587662,1.3316195425959167,54.41401858207092
3,Commercial,25,307,12,3,No,Chemical,Medium,Medium,54,28,33,4,Yes,3,0,No,South,19,60,Residential,No,Yes,None,29.7,84.53886712878597,3.3157016643577943,19.04288535873777
4,Residential,45,774,48,14,No,Negligence,Medium,Medium,21,4,16,7,Yes,11,9,No,South,10,91,Residential,Yes,Yes,Within 1 year,22.63444838927592,57.15546873725425,2.367328942360471,2.3
3,Residential,12,412,26,7,No,Negligence,Medium,Large,42,27,28,8,Yes,11,2,No,East,16,11,Residential,No,Yes,Over 3 years,19.04757909345997,68.38863657815004,4.239334908740052,13.879306849229556
10,Commercial,91,982,40,11,No,Chemical,Small,Small,35,14,49,1,Yes,10,15,No,North,12,66,Residential,No,No,1-3 years,27.630963786371343,78.6106246214266,2.45986625890236,13.278249788555271
5,Commercial,74,720,21,6,No,Negligence,Small,Small,30,29,35,8,Yes,8,10,No,North,17,61,Public,No,No,Within 1 year,20.968585994512523,86.81907816937183,0.6678152419462502,36.833977560781385
7,Commercial,53,913,40,12,No,Negligence,Small,Medium,40,19,17,5,Yes,10,8,No,South,16,56,Commercial,Yes,Yes,Within 1 year,15.1,58.00904415684407,2.688518252377848,24.36982214975956
8,Residential,77,913,46,13,No,Negligence,Small,Small,21,22,27,6,Yes,14,11,Yes,South,17,49,Industrial,No,No,Over 3 years,22.775293629347143,52.66117783509869,3.976352304859682,53.53857956750949
12,Residential,28,557,43,13,No,Chemical,Medium,Small,44,11,36,2,No,11,10,Yes,East,11,97,Residential,No,No,Over 3 years,29.7,52.83609448404248,0.983962897755672,9.857625449782748
6,Commercial,95,832,24,7,No,Chemical,Small,Large,51,37,50,4,No,4,6,No,South,12,71,Public,No,No,None,22.881026026255025,74.34610841166895,1.3472215432057912,46.70206460431308
6,Residential,7,824,32,9,No,Chemical,Medium,Medium,39,44,20,1,No,5,0,No,South,18,69,Commercial,No,Yes,Within 1 year,22.26601087371611,52.84861517071527,2.6532176889958765,2.3
12,Residential,60,340,29,8,No,Negligence,Small,Small,35,3,38,10,Yes,7,7,No,East,9,50,Commercial,Yes,No,1-3 years,26.92438404494349,63.72473909495724,2.4146935016314064,62.62301654735866
6,Residential,41,601,35,10,Yes,Chemical,Large,Large,58,15,28,1,No,10,4,No,South,20,99,Residential,Yes,Yes,None,15.1,73.59861282405882,2.616007746101021,55.88884856877401
6,Residential,41,713,32,9,Yes,Negligence,Small,Small,20,33,23,8,Yes,12,8,No,East,14,61,Residential,Yes,Yes,Within 1 year,22.502123131244588,82.51866758386562,3.519346874511504,37.17933434092133
1,Residential,10,593,20,5,No,Chemical,Medium,Small,44,30,15,3,Yes,3,0,No,East,13,30,Residential,No,No,Within 1 year,23.110594373012685,53.32053174197596,1.4246454423956774,20.608858714631204
5,Residential,46,736,18,5,No,Chemical,Medium,Large,40,20,29,7,Yes,3,2,No,South,10,52,Industrial,No,No,Over 3 years,23.708922208384283,56.82439777667619,3.9694414763733032,17.425101557940792
6,Commercial,90,547,49,14,No,Negligence,Small,Small,44,24,50,7,Yes,12,2,No,South,20,87,Public,No,No,Within 1 year,15.1,54.60759308660537,1.1650819787812334,22.63452429224088
1,Commercial,53,988,30,8,Yes,Negligence,Small,Medium,53,17,23,1,Yes,3,5,No,South,20,99,Commercial,No,Yes,1-3 years,22.31262944386001,69.4655036372788,1.9068572144749527,25.98921212073352
4,Commercial,69,400,47,14,No,Chemical,Medium,Medium,27,44,37,7,No,12,10,Yes,West,8,60,Public,No,No,Over 3 years,25.32176496491952,81.84376400617381,2.761990651120381,37.92344096785143
2,Residential,50,514,17,5,No,Chemical,Medium,Large,13,29,15,6,Yes,3,3,No,North,6,32,Public,No,No,Over 3 years,18.934169416008537,53.6751444852626,3.6530481675816535,26.99853520464346
5,Residential,65,457,49,14,No,Chemical,Medium,Medium,23,1,29,8,Yes,14,11,Yes,East,16,86,Residential,No,No,Within 1 year,21.17969119839657,40.4,2.527429436366506,26.25552792241201
12,Commercial,42,609,37,11,Yes,Negligence,Large,Large,23,52,25,6,Yes,7,5,No,West,7,41,Public,No,No,Over 3 years,26.5307968497073,99.4,2.43181308272939,9.475155920285488
8,Industrial,71,573,31,9,Yes,Chemical,Small,Medium,34,46,50,1,No,3,4,No,East,6,22,Public,No,No,None,25.65275347824789,49.27658097587411,4.450789247735095,34.39188503975748
7,Residential,75,535,33,9,No,Negligence,Large,Small,40,5,12,3,Yes,13,20,No,South,16,11,Commercial,Yes,Yes,1-3 years,15.1,61.30755959616283,3.1648607588331323,88.86285010799054
3,Residential,70,806,8,3,No,Negligence,Medium,Large,50,24,22,7,No,2,5,No,East,8,99,Residential,No,No,None,15.488410069313884,57.417940986897214,2.66895882968226,2.3
7,Industrial,42,92,27,7,No,Chemical,Medium,Medium,33,21,50,5,No,4,9,No,North,18,98,Residential,No,No,None,29.68861843049381,87.26490965933392,0.6,6.367441056511069
6,Commercial,31,820,41,12,No,Negligence,Large,Small,11,11,32,3,No,11,6,Yes,West,14,48,Public,No,No,Within 1 year,15.295800659797662,66.38824178545431,4.3752441747999775,47.59591443630557
7,Commercial,65,832,22,7,Yes,Negligence,Small,Small,36,1,39,2,Yes,5,2,No,East,4,89,Residential,Yes,Yes,None,21.601210240599755,64.71028814184808,1.2999836532300482,50.06768647406837
5,Residential,28,730,29,9,Yes,Electrical,Large,Large,12,19,19,10,Yes,10,10,No,East,5,47,Residential,Yes,Yes,1-3 years,18.4387142296394,47.94270398882188,3.4499258936144983,68.29478095744335
7,Industrial,12,307,45,13,Yes,Chemical,Small,Medium,8,1,27,4,Yes,12,13,No,South,8,99,Residential,Yes,Yes,Over 3 years,29.453452271398955,81.97224855526233,1.299640709233339,49.80439186027468
9,Commercial,64,138,21,6,No,Chemical,Small,Medium,41,30,50,4,No,7,9,No,East,14,70,Residential,No,No,None,24.88858144952448,71.74377531927622,3.1239311522476445,56.9996245060525
10,Industrial,89,590,19,5,Yes,Negligence,Large,Medium,24,18,12,6,Yes,4,12,No,West,11,38,Residential,No,No,Over 3 years,21.16395319332277,76.58377983174559,4.9,70.94249119618634
1,Commercial,41,92,24,7,No,Negligence,Medium,Large,44,20,17,10,Yes,5,9,No,South,12,96,Residential,No,Yes,Over 3 years,20.735862765836643,51.8962506832391,1.127212252805863,69.27654890980067
4,Commercial,45,629,10,3,No,Chemical,Small,Large,37,14,36,4,No,1,1,No,East,15,47,Residential,No,Yes,None,21.70060019240743,48.517735831054566,2.094423041299621,44.91384316115534
2,Residential,65,262,5,1,No,Electrical,Small,Small,42,17,33,9,Yes,6,13,No,East,12,19,Residential,Yes,Yes,Over 3 years,17.945749537695175,64.46006005867186,1.3400440144554042,94.1
7,Commercial,68,699,31,9,No,Chemical,Large,Medium,37,45,40,8,Yes,10,11,No,East,8,26,Commercial,Yes,Yes,None,29.7,85.8555636703118,2.4934472778635075,53.58830526557678
4,Residential,49,227,42,12,No,Negligence,Medium,Small,23,16,44,9,Yes,10,11,Yes,South,4,41,Commercial,Yes,Yes,1-3 years,27.42265681479524,81.60850509734075,1.696976061175642,28.25324861718492
8,Residential,31,92,40,11,No,Chemical,Small,Medium,28,12,40,10,No,7,10,No,South,2,14,Residential,No,No,None,29.7,40.4,1.1733271002577006,38.93783709122697
5,Residential,33,418,40,11,No,Chemical,Small,Medium,38,36,34,3,No,8,5,No,East,20,41,Public,No,No,Over 3 years,21.902229558302484,78.4451969792714,0.6,36.6820428513276
2,Residential,45,358,14,4,No,Negligence,Small,Large,38,31,15,6,No,1,4,No,East,5,91,Public,No,No,None,17.05903016312967,50.06400849758643,3.2106944108298587,2.3
6,Residential,4,327,28,8,No,Chemical,Medium,Medium,26,12,22,9,Yes,5,5,No,South,8,62,Residential,No,No,Over 3 years,15.74135688731972,46.1909893977212,1.1863093648730638,2.3
8,Industrial,15,523,28,8,Yes,Chemical,Medium,Medium,33,8,7,2,No,4,0,No,North,18,61,Residential,No,No,Over 3 years,17.188523215519986,57.82780813229899,4.359136967377348,28.65038336225768
12,Residential,4,588,33,9,No,Negligence,Large,Medium,21,9,36,6,No,11,10,No,East,16,60,Commercial,Yes,Yes,1-3 years,21.59478124126275,87.22939372712293,0.9594265078401982,26.98776507102824
5,Commercial,80,475,31,9,No,Chemical,Small,Large,28,38,19,7,Yes,7,14,No,South,15,96,Residential,No,No,None,23.1299536711568,67.64258890775352,1.4302385158676456,32.58721418808989
1,Commercial,30,92,17,5,No,Chemical,Small,Small,58,6,48,4,Yes,2,3,No,East,7,40,Industrial,No,No,None,18.79372464491271,64.68332612588998,3.5217430808571075,50.21146090618076
3,Residential,77,791,18,5,No,Chemical,Medium,Large,49,38,2,10,No,6,6,No,South,15,83,Residential,No,No,Over 3 years,15.103752780075933,54.200657291628126,3.8711889281330056,3.3229472542736467
9,Residential,43,392,24,7,No,Electrical,Large,Large,47,16,46,5,No,6,4,No,North,12,60,Residential,Yes,No,1-3 years,19.088622805690104,71.5170128841877,3.215680155786995,18.840623111184406
6,Residential,14,469,11,3,No,Chemical,Small,Small,54,16,24,5,No,3,0,No,West,9,41,Industrial,Yes,Yes,Over 3 years,23.666747100170014,69.66762130796755,2.080334840206349,2.86135930813316
9,Residential,55,322,28,8,No,Chemical,Small,Medium,11,42,11,10,No,7,9,Yes,North,13,62,Residential,No,No,None,24.18796204745697,66.90019883634058,2.3563509634377158,57.239969096648935
10,Industrial,78,580,35,10,Yes,Negligence,Medium,Large,37,21,29,5,No,7,7,No,East,9,98,Industrial,No,No,None,24.065774373437677,83.44128471498011,1.0851403228407333,20.470184885438943
8,Residential,19,234,10,2,No,Chemical,Medium,Medium,49,32,10,6,No,1,0,No,North,8,32,Industrial,No,No,None,21.457160633344134,73.07370773923627,2.294873571470122,2.3
8,Residential,99,691,43,12,Yes,Chemical,Small,Large,24,40,0,9,Yes,13,9,No,North,12,5,Residential,No,No,Over 3 years,18.68826031806664,78.90549810918863,2.577598851574938,64.03372304095834
12,Residential,54,741,41,12,No,Negligence,Large,Small,47,42,45,4,No,12,10,No,West,7,57,Residential,Yes,No,1-3 years,25.36155049118449,97.09528625845924,2.0658968593735745,20.435782983200937
10,Residential,4,593,22,6,No,Negligence,Small,Large,18,57,37,6,Yes,6,2,No,South,8,28,Public,No,No,None,24.13587382185396,65.42469300006805,2.441330405965801,53.86723309305587
7,Residential,90,659,20,6,No,Chemical,Small,Medium,34,48,23,9,No,12,16,No,North,9,14,Residential,Yes,Yes,Over 3 years,18.38932915594512,87.1894524218476,3.914574253703016,61.751226454613175
10,Commercial,4,92,26,8,Yes,Chemical,Small,Medium,37,49,22,9,No,6,1,No,South,2,53,Industrial,No,No,Over 3 years,22.912655951125515,74.9391754649678,2.8405319438685943,38.00865230795922
2,Industrial,48,487,40,12,Yes,Chemical,Small,Small,59,28,20,4,Yes,13,13,No,North,16,53,Residential,Yes,Yes,1-3 years,27.50581703389882,90.99623097903071,1.431747188281532,36.10700509299944
9,Commercial,42,176,37,10,Yes,Chemical,Small,Small,33,29,50,2,Yes,13,4,Yes,West,8,41,Residential,Yes,Yes,Over 3 years,23.526827200988983,68.70466186187792,3.230070154560673,33.1919188735983
6,Residential,85,554,19,6,No,Chemical,Small,Large,58,28,17,9,No,3,3,No,East,7,17,Industrial,Yes,Yes,None,23.59119585834492,49.899954992918325,3.1564844761697017,40.6335655281448
3,Residential,34,122,33,9,No,Chemical,Medium,Medium,35,22,43,8,No,10,4,Yes,South,15,40,Industrial,No,Yes,None,15.1,40.4,4.273776800559688,16.83056582552916
3,Residential,81,304,22,6,No,Negligence,Small,Small,26,57,32,9,No,9,12,No,South,17,37,Public,No,No,Over 3 years,23.723080169035256,61.145413915818686,4.66452813861812,28.949711529694746
11,Residential,33,752,40,12,No,Chemical,Medium,Large,54,35,35,1,Yes,13,17,Yes,East,6,39,Industrial,Yes,Yes,Over 3 years,26.075670135591448,64.9996552120786,4.6389486912366245,8.311375065513662
7,Residential,65,510,46,13,No,Chemical,Large,Medium,20,1,33,10,Yes,9,7,Yes,East,6,29,Residential,Yes,No,Over 3 years,16.132926736143578,41.17846746662953,3.1424958766847046,58.7265847953548
2,Industrial,83,787,49,14,Yes,Chemical,Large,Medium,42,15,19,4,Yes,13,7,No,East,6,38,Residential,Yes,Yes,Over 3 years,17.79163525176958,68.018979097346,4.875643211853827,58.00436387999172
4,Residential,74,324,5,1,Yes,Negligence,Large,Small,59,55,11,8,Yes,4,0,No,East,18,26,Industrial,Yes,Yes,Over 3 years,17.024923627933056,83.45718180129172,3.741585684658516,91.16644645189824
